;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
aquacultures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aquaculture in a continental environment;0;588;0;0;0;0;0;0;1;0;0;0;0;0;11;0;1;0;0;0;0;0;27;6;2;0;0;732;0;0;0;0;0;1;0;0;1;0;0;54;1;0;0;0;0;0;0;0;0;0;0;0;18;0;7;0;0;1;1;0;1;0;1;0;0;0;0;5;1;0;0;0;0;0;14;0;0;2;6;0;0;0;6;0;0;0;11;0;501;0
aquaculture in the marine environment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
military airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sport flight airports and heliports;0;0;0;2;0;22;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;70;2;48;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;13;0;6;2;10;0;18;0;0;6;0;0;2;0;0;31;0;118;0;0;0;42;3;0;0;14;1;0;0;0;0;118;11;0;35;9;0;0;6;0;0;0;38;7;0;0;0
other wood crops;0;0;0;0;0;1;478;4;0;0;0;12;61;2;4;0;15;0;0;0;0;0;3;13;17;1;0;7;0;0;36;10;21;41;1;12;132;0;2;8;2;5;0;0;4;25;1;2;3;275;0;0;8;0;1;6;0;1;2;17;33;2;192;2;92;0;0;1;6;134;0;0;0;30;48;47;0;20;14;1;0;18;0;0;68;11;25;20;3;0
riverbeds and streams with abundant vegetation;0;0;0;2;0;0;12;892;241;0;0;6;14;17;16;4;17;0;0;0;0;0;12;2;35;0;1;15;0;0;109;0;54;99;4;6;32;1;2;23;5;4;0;3;1;2;6;0;1;5;0;0;4;0;0;6;0;3;9;1;13;2;17;0;13;13;0;3;5;8;0;9;0;4;34;21;0;12;28;4;0;9;0;0;86;1;26;2;24;0
riverbeds and streams with sparse vegetation;0;2;0;0;0;0;0;175;1163;0;0;7;0;8;86;7;33;0;0;0;0;0;4;5;141;1;0;34;1;15;7;0;2;15;0;0;0;1;1;40;27;3;0;0;3;3;2;0;0;3;0;0;4;1;1;3;0;6;5;0;11;0;9;0;2;8;1;5;8;3;1;11;0;3;18;7;0;9;38;0;0;2;0;0;26;2;1;2;24;0
bathing areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
archaeological areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gully areas;0;0;0;1;0;0;0;1;1;0;0;1553;3;57;13;14;4;0;0;0;0;0;0;5;0;1;2;5;0;0;1;0;31;2;3;5;0;0;0;0;3;0;0;0;0;0;0;5;8;4;0;0;3;1;0;0;0;1;1;1;1;0;0;0;49;1;0;0;0;10;0;4;0;22;2;10;0;0;2;0;0;0;0;0;163;6;1;0;0;0
areas with agricultural crops and important natural spaces;0;1;0;6;0;3;56;20;6;0;0;15;403;2;2;3;8;0;0;0;0;0;3;7;2;12;2;8;0;0;14;10;164;12;11;17;4;1;2;2;6;35;0;5;0;64;1;0;1;20;0;0;11;0;2;9;2;1;5;20;34;0;1;0;206;3;0;0;18;27;0;6;0;151;8;157;0;145;8;3;0;36;0;0;144;8;59;5;3;0
areas with sparse other vegetation;0;0;0;0;0;0;6;14;23;0;0;417;5;813;114;39;1;0;0;0;0;0;4;0;0;3;0;0;0;0;1;6;129;1;14;50;0;1;4;0;0;4;0;0;1;0;0;5;0;1;0;0;4;0;0;0;2;2;1;0;0;0;0;0;29;0;0;0;9;1;0;70;0;12;1;3;0;4;8;0;0;0;0;0;198;0;0;0;0;0
active mining areas;0;11;0;1;0;0;6;98;197;0;0;13;0;6;317;80;27;0;0;0;0;0;41;2;7;1;0;203;82;0;8;4;5;12;0;0;2;0;0;10;247;3;0;0;4;6;2;4;22;1;6;0;10;5;1;2;0;26;17;1;4;1;65;8;9;54;3;10;13;6;7;5;0;27;30;6;0;3;41;0;0;0;0;0;45;0;0;8;165;0
inactive mining areas;0;0;0;0;0;1;0;178;151;0;0;15;11;157;171;48;37;0;0;0;0;0;0;1;0;47;0;40;0;0;13;0;15;12;0;1;1;0;0;0;84;0;0;0;15;2;0;0;33;37;0;0;2;14;1;1;0;3;52;7;13;0;0;0;31;17;24;2;12;6;1;26;0;7;25;0;0;0;175;0;0;0;1;0;249;28;0;0;233;0
urban waste areas;0;1;0;23;0;17;16;1;5;0;0;5;10;1;37;21;617;0;0;0;0;0;16;66;15;7;1;6;0;0;21;1;1;0;2;0;12;0;0;19;38;0;1;16;5;21;4;22;9;11;7;12;27;10;12;23;7;46;23;3;141;2;10;0;48;22;35;11;31;53;0;0;0;23;102;35;0;17;120;35;0;34;0;0;22;15;6;8;12;0
areas for telecommunications systems;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;28;15;4;0;0;9;5;0;3;0;2;6;0;0;0;0;0;3;1;0;0;15;19;0;0;0;1;22;7;0;35;73;3;0;1;0;0;0;0;6;24;0;0
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial port areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
