;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
aquacultures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aquaculture in a continental environment;0;477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;4;3;0;0;618;0;0;0;0;0;1;0;0;0;0;1;41;0;0;0;0;0;21;0;0;0;0;1;0;4;0;14;0;0;5;2;0;3;0;2;0;6;0;0;4;2;0;0;0;0;1;16;2;0;2;0;0;0;1;0;0;0;0;5;0;723;0
aquaculture in the marine environment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
military airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sport flight airports and heliports;0;0;0;10;1;15;0;2;3;0;0;0;0;0;0;0;34;0;0;0;0;0;111;9;12;0;0;1;0;0;0;0;0;0;0;0;0;0;109;2;1;0;0;24;0;4;0;0;0;6;0;0;6;0;0;3;0;1;70;0;19;0;5;0;60;7;1;1;5;0;0;0;0;0;52;14;0;19;1;0;0;9;0;0;1;10;19;0;0;0
other wood crops;0;0;0;0;0;1;389;6;1;0;0;17;41;0;0;0;23;0;0;0;0;0;2;7;17;1;0;2;0;0;33;3;25;18;3;1;135;0;4;8;0;2;2;7;3;25;1;2;0;432;0;0;5;0;1;2;0;4;1;16;11;0;200;0;65;1;1;0;4;145;0;0;0;40;40;22;0;37;14;2;0;9;0;0;102;10;36;7;14;0
riverbeds and streams with abundant vegetation;0;0;0;0;0;0;10;857;213;0;0;3;9;16;19;12;9;0;0;0;0;0;5;17;37;2;2;22;0;0;90;0;59;135;1;11;47;4;4;47;6;0;0;0;2;3;1;7;4;2;0;0;6;0;4;4;0;2;5;2;12;0;27;0;3;11;0;3;20;17;0;1;0;7;25;7;0;8;17;7;0;15;0;0;89;2;19;1;30;0
riverbeds and streams with sparse vegetation;0;1;0;0;0;1;4;254;976;0;0;7;0;2;109;13;8;0;0;0;0;0;2;5;172;3;0;97;0;9;6;0;7;8;1;0;1;1;0;52;19;0;0;0;3;0;0;2;3;2;0;0;3;2;1;0;0;4;4;0;4;0;3;0;2;7;2;5;11;10;1;6;0;10;12;5;0;9;26;3;1;6;0;0;20;7;1;0;67;0
bathing areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
