;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
aquacultures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aquaculture in a continental environment;0;915;0;0;0;0;1;2;30;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;6;0;0;397;0;0;0;0;0;0;0;0;0;0;0;141;0;0;0;0;0;0;2;1;0;0;0;3;6;0;14;0;0;0;1;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458;0
aquaculture in the marine environment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
military airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sport flight airports and heliports;0;0;0;0;0;11;5;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;34;5;64;0;0;0;0;0;0;0;1;0;0;0;0;0;149;13;0;0;0;22;0;22;5;0;0;47;0;0;17;0;1;5;0;1;70;0;0;0;0;0;24;0;0;0;5;0;0;0;0;1;57;27;0;2;0;2;0;1;0;0;0;10;19;0;0;0
other wood crops;0;0;0;0;0;0;21;1;0;0;0;0;100;0;0;0;6;0;0;0;0;0;16;2;19;3;0;5;0;0;75;10;28;50;1;15;162;0;1;3;4;1;23;0;2;25;0;0;1;259;0;1;5;0;1;0;0;2;14;0;3;2;331;0;123;0;1;1;5;173;0;0;0;8;49;48;0;6;8;10;0;3;0;0;50;273;7;43;0;0
riverbeds and streams with abundant vegetation;0;1;0;0;0;0;9;880;103;0;0;0;0;0;4;0;13;1;0;0;0;0;23;3;55;5;1;145;43;47;133;0;90;131;0;1;35;4;2;11;1;3;2;1;0;2;18;1;4;3;0;0;2;0;5;7;0;2;16;0;6;0;28;0;2;23;1;11;7;8;0;0;0;4;24;18;0;2;11;4;0;1;0;0;12;4;4;7;16;0
riverbeds and streams with sparse vegetation;0;5;0;0;0;0;1;179;970;0;0;0;3;0;20;0;5;0;0;0;0;0;8;3;169;2;0;159;57;62;27;0;10;19;0;2;0;0;0;68;26;0;3;0;1;2;14;1;1;1;0;0;2;0;1;3;0;4;9;0;1;0;6;0;2;23;17;6;4;1;0;0;0;1;9;9;0;1;55;2;0;0;0;0;7;0;1;1;17;0
bathing areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
archaeological areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gully areas;0;0;0;0;0;0;7;3;0;0;0;351;3;0;15;0;0;0;0;0;0;0;1;2;0;0;0;8;0;0;2;0;1180;3;3;0;0;0;0;0;2;0;18;0;0;0;5;2;2;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;34;31;12;1;0;1;0;0;0;4;1;8;0;0;1;0;0;0;0;0;280;15;0;1;0;0
areas with agricultural crops and important natural spaces;0;0;0;0;0;0;6;9;0;0;0;0;579;0;1;0;8;0;0;0;0;0;28;3;0;12;0;4;0;0;22;0;179;18;3;1;0;4;6;0;4;39;72;4;4;95;1;0;0;11;0;0;15;0;2;2;2;0;65;0;4;1;0;0;320;2;2;0;4;33;0;0;0;22;28;135;0;50;4;45;0;11;0;0;98;12;19;11;0;0
areas with sparse other vegetation;0;0;0;0;0;0;0;28;21;0;0;24;3;0;33;0;2;0;0;0;0;0;4;3;0;14;1;1;3;2;45;2;1560;21;14;34;0;1;0;1;0;6;9;0;0;0;17;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;15;14;16;0;4;0;0;0;0;2;1;0;0;0;9;0;0;1;0;0;84;1;0;0;0;0
active mining areas;0;8;0;0;0;1;1;98;263;0;0;0;4;0;139;0;28;0;0;0;0;0;9;1;26;4;0;287;26;34;12;0;13;3;0;3;0;0;0;15;301;0;25;0;3;4;27;5;34;1;1;0;3;0;16;0;0;4;13;0;0;0;14;0;14;158;103;19;19;1;0;0;0;6;19;2;0;0;79;0;0;0;0;0;41;1;0;2;110;0
inactive mining areas;0;0;0;0;0;0;9;429;46;0;0;0;7;0;78;0;69;0;0;0;0;0;9;12;44;24;0;134;2;22;62;0;24;27;0;0;0;1;0;0;55;0;19;0;0;3;78;0;13;1;0;0;2;0;0;2;0;0;52;0;4;1;0;0;7;159;87;8;4;15;0;0;0;0;13;35;0;0;249;0;0;0;0;0;56;1;0;1;136;0
urban waste areas;0;0;0;0;0;1;5;1;0;0;0;0;6;0;0;0;569;1;0;0;0;0;149;107;13;10;2;5;0;0;50;1;7;0;1;0;10;0;2;13;43;0;9;38;0;11;25;22;4;9;6;8;20;6;39;36;4;54;113;0;24;2;1;0;45;32;75;22;25;53;0;0;0;2;29;24;0;3;155;51;0;20;0;0;15;6;0;8;8;0
areas for telecommunications systems;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;14;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;6;1;0;0;0;0;30;1;0;3;0;1;15;0;0;0;0;0;1;4;48;0;9;0;0;0;0;0;7;7;0;11;120;0;0;0;0;0;2;0;0;6;0;0
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial port areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas for pleasure;0;5;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas for fishing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sports areas;0;32;0;0;0;1;2;5;0;0;0;0;15;0;0;0;26;0;0;0;0;0;1059;3;5;9;1;43;2;2;4;3;4;1;0;0;0;7;66;13;14;1;7;55;0;3;5;4;0;7;0;0;36;11;22;64;5;27;87;0;7;33;0;22;41;2;32;7;16;1;0;0;0;6;7;27;0;13;3;73;1;17;0;0;3;6;9;19;4;0
green areas associated with roads;0;0;0;2;0;1;1;4;1;0;0;0;5;0;0;0;78;0;0;0;0;0;18;889;26;4;203;6;0;1;55;0;8;0;0;0;0;0;0;19;7;0;0;19;5;1;34;9;2;1;8;2;14;18;52;15;2;28;21;0;2;1;0;0;29;81;33;11;95;4;0;0;0;4;70;23;0;11;30;13;0;6;0;0;7;5;3;13;0;0
embankments;0;14;0;1;0;2;2;11;12;0;0;0;0;0;0;0;19;0;0;0;0;0;21;2;1442;2;0;31;0;59;8;0;1;3;0;0;9;0;1;42;8;0;0;1;2;1;5;2;0;8;0;13;18;0;17;7;0;1;8;0;1;0;19;0;14;4;74;10;2;5;0;0;0;5;48;9;0;2;7;4;0;0;0;0;0;9;0;2;12;0
racetracks;0;0;0;0;0;19;22;14;2;0;2;91;29;0;28;0;102;0;0;0;0;0;70;61;5;140;0;37;0;2;13;0;148;1;0;0;3;0;14;0;58;0;35;2;47;3;42;11;4;0;0;0;9;4;46;21;0;39;105;0;5;3;2;0;126;41;81;8;95;18;0;0;0;50;72;27;0;0;82;2;0;0;0;0;122;9;0;26;2;0
highways and expressways;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;3;173;0;1;1412;0;0;0;6;0;0;0;0;0;0;0;0;3;4;0;0;9;0;0;56;1;3;0;49;0;1;49;10;9;11;36;2;0;2;0;0;0;1;39;8;2;90;0;0;0;0;0;3;1;0;0;2;3;0;2;0;0;0;0;0;4;0;0
artificial basins;0;81;0;0;0;0;2;55;66;0;0;0;5;0;4;0;4;0;0;0;0;0;63;3;9;0;2;928;43;8;17;0;5;13;0;0;4;0;1;160;12;0;0;1;11;2;13;5;0;17;0;0;21;1;11;1;0;0;11;0;0;2;2;0;6;10;32;40;4;4;2;0;0;7;38;13;0;2;15;0;0;1;0;0;3;9;3;18;210;0
natural basins;0;8;0;0;0;0;0;26;193;0;0;10;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;36;1;762;0;0;16;0;0;0;0;0;0;0;5;0;0;0;0;0;9;0;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;3;20;11;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;0;0;0;0;0
production basins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ruderal thickets;0;0;0;3;0;0;25;44;0;0;0;0;30;0;0;0;10;0;0;0;0;0;34;62;10;1;2;26;0;0;543;0;83;191;1;8;155;2;7;9;7;0;9;7;1;13;11;0;1;15;0;0;13;0;9;15;1;10;29;0;20;2;13;0;6;18;6;4;8;56;0;0;0;4;80;140;0;17;13;43;4;16;0;0;22;77;27;35;2;0
forests with a prevalence of beech trees;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1617;80;0;16;0;0;2;0;0;0;177;30;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;12;13;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;27;0;0;0;0;0
woods with a prevalence of oaks, hornbeams and chestnuts;0;0;0;0;0;0;5;23;1;0;0;1;67;0;0;0;1;0;0;0;0;0;0;0;0;6;0;2;2;2;24;50;1416;29;10;0;5;2;1;0;0;153;36;0;0;2;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;41;2;1;0;1;7;0;0;0;3;4;10;0;11;0;5;0;0;0;0;57;9;3;3;0;0
