;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
aquacultures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aquaculture in a continental environment;0;623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;20;13;0;0;0;659;0;0;1;0;0;0;0;0;1;0;0;38;0;0;0;0;0;0;0;1;0;0;2;0;5;0;25;5;0;4;0;0;0;0;2;0;1;1;0;3;2;0;1;0;0;0;6;1;0;4;0;0;0;1;0;0;0;0;0;1;579;0
aquaculture in the marine environment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
military airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sport flight airports and heliports;0;0;0;0;0;12;5;0;0;0;0;0;1;0;0;0;22;0;0;0;0;0;71;17;63;0;1;0;0;0;0;0;1;0;0;0;0;1;1;2;2;0;0;9;0;21;0;1;0;78;0;4;21;0;0;1;0;0;48;3;0;0;0;0;1;3;20;4;9;0;0;0;0;0;87;4;0;92;2;0;0;0;0;0;0;1;39;0;0;0
other wood crops;0;0;0;0;0;0;449;0;0;0;0;7;39;0;1;0;26;0;0;0;0;0;0;3;12;0;0;5;0;0;59;11;29;42;2;1;145;0;0;11;4;1;0;0;0;23;1;0;0;256;0;0;11;0;1;4;0;1;4;16;9;0;272;0;55;2;1;1;7;175;0;0;0;29;39;66;0;40;11;1;0;9;0;0;68;15;25;9;2;0
riverbeds and streams with abundant vegetation;0;0;0;0;0;0;11;820;195;0;0;4;4;17;21;25;14;1;0;0;0;0;10;9;47;4;1;24;1;0;139;0;58;123;2;2;49;2;4;49;6;1;0;1;0;2;2;1;0;2;0;0;6;0;2;4;0;4;9;0;12;1;28;0;3;20;1;10;20;15;0;0;0;3;36;16;0;21;33;3;0;5;0;0;59;0;27;3;8;0
riverbeds and streams with sparse vegetation;0;0;0;0;0;0;1;239;969;0;0;3;3;18;133;15;20;0;0;0;0;0;3;5;159;0;0;65;2;26;12;0;0;14;0;0;1;0;0;43;56;0;0;1;1;2;1;1;1;2;0;1;6;0;0;1;1;7;4;0;7;0;9;0;0;7;2;2;12;3;0;2;0;1;14;6;0;12;55;2;0;0;0;0;14;0;5;4;27;0
bathing areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
archaeological areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gully areas;0;0;0;0;0;1;3;1;1;0;0;1457;2;111;29;10;1;0;0;0;0;0;0;1;0;1;1;6;0;1;2;0;18;0;1;4;0;0;0;0;0;0;0;0;0;1;0;6;10;4;0;0;2;0;1;1;0;0;0;6;1;0;0;0;45;0;2;0;5;8;0;5;0;39;0;6;0;2;2;0;0;0;0;0;200;1;2;0;0;0
areas with agricultural crops and important natural spaces;0;0;0;0;0;1;75;11;0;0;0;11;276;4;1;2;20;0;0;0;0;0;17;7;0;6;0;7;0;0;13;7;227;10;14;8;1;1;6;0;3;27;0;6;2;89;0;0;0;25;0;0;31;0;0;10;0;1;22;18;14;0;1;0;173;3;4;0;11;60;0;0;0;147;16;165;0;179;4;3;0;27;0;0;164;4;63;3;0;0
areas with sparse other vegetation;0;0;0;0;0;0;2;12;33;0;0;333;5;982;61;69;2;0;0;0;0;0;2;2;0;1;2;3;0;0;0;4;104;0;7;30;0;0;0;0;1;2;0;0;0;1;0;0;5;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;15;2;0;1;14;1;0;111;0;11;0;1;0;2;7;0;0;0;0;0;169;0;0;0;0;0
