;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
aquacultures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aquaculture in a continental environment;0;694;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;6;7;9;0;1;672;0;0;0;0;0;3;0;0;0;0;0;42;0;0;0;0;0;0;0;1;0;0;3;3;2;0;38;1;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;507;0
aquaculture in the marine environment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
military airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sport flight airports and heliports;0;0;0;21;0;72;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;103;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0;41;2;0;5;10;0;0;8;0;0;6;0;0;81;0;3;0;0;0;62;2;4;2;1;0;0;0;0;9;54;20;0;14;3;0;0;4;0;0;0;23;28;0;0;0
other wood crops;0;0;0;0;0;2;465;4;0;0;0;13;34;0;3;2;17;0;0;0;0;0;5;5;26;6;0;2;0;0;64;7;22;47;0;4;120;0;4;7;0;2;0;1;1;29;0;1;0;299;2;1;5;0;2;5;0;3;4;16;8;0;274;0;59;1;0;0;1;192;0;0;0;15;3;47;0;29;14;2;0;8;0;0;74;15;8;18;2;0
riverbeds and streams with abundant vegetation;0;0;0;0;0;0;10;790;199;0;0;17;3;18;39;6;12;0;0;0;0;0;11;7;53;3;2;30;0;0;136;0;21;116;4;16;25;3;1;44;4;6;0;0;1;0;8;1;41;6;1;0;2;0;5;8;1;2;5;1;25;0;53;0;2;12;0;7;17;7;0;11;0;8;13;11;0;13;26;1;0;12;0;0;55;2;24;7;36;0
riverbeds and streams with sparse vegetation;0;0;0;0;0;0;1;173;1151;0;0;8;2;22;71;10;29;0;0;0;0;0;2;7;170;10;1;32;2;1;9;0;3;18;0;0;2;1;1;43;25;1;0;1;6;1;1;0;3;3;0;0;1;2;2;2;0;1;1;0;8;0;8;0;4;3;1;5;10;2;0;8;0;2;13;7;0;6;50;5;0;1;0;0;13;2;2;2;29;0
bathing areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
archaeological areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gully areas;0;0;0;0;0;1;3;1;2;0;0;1508;3;74;10;5;5;0;0;0;0;0;0;4;0;2;4;11;0;0;1;0;11;1;4;6;0;0;0;0;1;0;0;0;0;0;0;2;23;8;0;1;2;3;0;2;0;3;1;12;4;0;0;0;34;1;0;0;1;26;0;5;0;14;0;8;0;3;5;0;0;0;0;0;182;2;0;1;0;0
areas with agricultural crops and important natural spaces;0;0;0;0;0;2;80;12;0;0;0;16;325;4;0;4;7;1;0;0;0;0;21;4;0;11;0;11;1;0;20;6;97;8;7;20;1;1;2;0;6;54;1;4;2;57;0;1;1;48;0;3;11;0;0;10;1;1;8;11;10;0;3;0;211;0;1;0;9;72;0;0;0;132;12;160;0;180;13;5;0;51;0;0;188;6;60;7;0;0
areas with sparse other vegetation;0;0;0;0;0;0;0;9;43;0;0;367;12;895;142;25;1;0;0;0;0;0;1;5;0;8;0;2;0;0;0;5;38;1;18;62;0;0;0;0;1;11;0;0;0;0;0;3;1;0;0;1;0;0;2;0;0;1;0;2;0;0;0;0;28;1;1;0;14;4;0;139;0;9;0;1;0;8;3;0;0;0;0;0;132;0;3;0;1;0
active mining areas;0;3;0;0;0;2;2;125;332;0;0;1;0;14;324;19;70;0;0;0;0;0;15;2;15;15;2;189;8;0;12;4;7;16;0;0;0;0;0;25;270;0;0;0;3;1;1;0;62;3;0;1;10;1;7;6;0;20;4;0;1;3;48;1;24;25;2;2;11;2;1;13;0;7;5;4;0;0;46;0;0;0;0;0;33;7;4;3;167;0
inactive mining areas;0;0;0;0;0;0;4;171;64;0;0;1;0;193;213;80;66;0;0;0;0;0;2;14;4;25;0;14;0;0;14;0;22;4;0;0;1;1;0;2;39;0;0;0;2;3;0;10;54;9;4;2;7;0;0;0;0;4;5;14;0;11;4;0;40;36;0;1;11;12;1;18;0;43;3;5;0;0;294;0;0;0;0;0;204;8;3;0;258;0
urban waste areas;0;2;0;5;0;7;29;3;5;0;0;1;8;2;9;15;714;0;0;0;0;0;41;73;28;3;6;10;0;0;30;0;1;1;3;1;13;0;4;26;63;0;0;18;5;26;3;27;15;17;13;4;33;15;16;43;5;41;13;0;99;1;15;0;42;17;31;10;21;35;0;1;0;12;17;36;0;19;142;36;0;26;0;0;6;4;12;7;14;0
areas for telecommunications systems;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;14;0;0;0;0;0;1;9;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;6;7;0;0;0;0;0;0;62;22;0;0;0;15;0;0;0;0;21;5;0;0;0;0;0;0;2;0;1;4;23;0;0;0;0;60;1;0;9;35;0;0;17;0;0;0;0;2;0;0;0
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial port areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas for pleasure;0;9;0;0;0;0;0;0;24;0;0;0;0;0;8;0;0;0;0;0;0;0;10;0;1;0;0;38;0;0;0;0;0;0;0;0;0;0;4;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;3;0;0;0;0;0;2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0
port areas for fishing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
