;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
aquacultures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aquaculture in a continental environment;0;792;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;108;8;1;0;0;601;2;0;0;0;0;0;0;1;0;0;1;30;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;1;0;1;0;0;0;0;0;0;4;4;0;0;0;0;0;8;0;0;4;0;1;0;0;0;0;0;0;0;0;426;0
aquaculture in the marine environment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
military airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sport flight airports and heliports;0;0;0;0;0;20;0;0;2;0;0;0;8;0;0;0;13;0;0;0;0;0;207;44;68;1;2;0;0;0;0;0;3;0;0;0;0;0;26;0;0;0;0;21;0;4;0;0;0;20;0;0;1;0;2;2;0;1;14;0;12;0;9;0;93;1;0;1;10;0;0;0;0;0;29;0;0;15;0;0;0;4;0;0;0;13;1;0;0;0
other wood crops;0;0;0;0;0;0;437;0;0;0;0;8;55;0;1;1;19;0;0;0;0;0;2;4;20;2;0;4;0;0;45;6;25;41;1;5;138;0;0;5;2;8;0;1;2;15;1;0;3;339;0;0;8;0;1;2;0;2;8;16;9;0;220;0;51;0;0;2;6;153;0;0;0;25;42;45;0;28;23;0;0;12;0;0;102;15;13;21;6;0
riverbeds and streams with abundant vegetation;0;1;0;0;0;1;13;810;254;0;0;5;11;13;18;7;11;0;0;0;0;0;17;10;34;2;2;22;1;0;102;0;40;166;10;3;33;9;4;34;1;1;0;0;0;5;1;1;5;4;2;0;6;0;1;7;0;3;5;0;13;2;34;0;9;8;1;13;13;14;0;4;0;5;38;10;0;11;16;4;0;7;0;0;72;1;18;5;27;0
riverbeds and streams with sparse vegetation;0;0;0;0;0;0;6;222;1158;0;0;8;0;6;71;14;30;0;0;0;0;0;4;5;175;0;0;32;0;1;10;0;4;20;0;0;1;1;2;44;24;0;0;1;3;1;1;1;3;3;1;0;3;2;0;1;1;4;0;1;5;1;2;1;5;3;0;6;12;7;2;4;0;3;11;9;0;4;28;1;0;0;0;0;10;0;0;1;21;0
bathing areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
