;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
aquacultures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aquaculture in a continental environment;0;232;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;5;0;0;889;3;0;0;0;0;1;0;0;1;0;0;39;0;0;0;0;1;1;0;0;0;0;13;0;4;0;5;1;0;0;0;0;7;0;0;0;1;0;0;1;8;0;0;0;0;0;6;0;0;4;0;1;0;0;0;0;0;1;2;0;749;0
aquaculture in the marine environment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
military airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sport flight airports and heliports;0;0;0;0;0;76;0;0;0;0;0;0;1;0;1;0;20;0;0;0;0;0;57;0;103;0;0;0;0;0;0;0;3;0;0;0;1;0;42;31;1;0;0;6;0;13;0;1;0;20;0;0;8;0;1;5;0;7;6;0;11;0;0;0;54;0;1;39;10;0;0;0;0;0;31;20;0;36;0;1;0;1;0;0;0;16;9;0;15;0
other wood crops;0;0;0;0;0;0;469;7;1;0;0;25;42;2;0;0;25;0;0;0;0;0;6;11;22;2;0;6;1;0;98;12;43;34;2;8;87;1;1;6;2;4;0;0;3;31;0;0;1;172;0;0;11;0;1;8;0;3;7;12;12;0;270;0;78;3;2;1;3;196;0;0;0;26;19;35;0;26;10;4;0;8;0;0;71;22;26;18;4;0
riverbeds and streams with abundant vegetation;0;0;0;0;0;1;10;781;228;0;0;22;4;43;10;3;11;0;0;0;0;0;8;8;48;4;1;35;1;0;80;0;69;156;2;14;34;0;3;38;1;1;0;1;1;5;2;4;10;8;0;2;11;1;4;7;0;5;12;0;14;0;27;0;9;5;1;9;25;13;0;13;0;7;16;10;0;13;17;2;0;4;0;0;70;2;27;3;24;0
riverbeds and streams with sparse vegetation;0;0;0;0;0;1;2;197;972;0;0;8;2;25;47;9;12;0;0;0;0;0;1;9;186;3;0;60;53;44;13;0;4;18;0;0;0;0;0;32;37;0;0;1;3;2;0;0;1;5;0;0;12;1;0;1;0;9;8;1;3;0;26;0;5;6;2;3;10;4;0;12;0;3;6;6;0;8;74;3;1;3;0;0;21;2;3;3;17;0
bathing areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
archaeological areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gully areas;0;0;0;1;0;0;2;1;2;0;0;1520;2;143;27;9;0;0;0;0;0;0;2;1;0;1;2;9;1;0;1;0;28;0;1;4;0;1;0;0;2;2;2;0;0;1;0;1;7;2;0;2;5;0;0;0;2;0;0;4;0;0;0;2;21;3;0;0;2;12;0;9;0;30;1;5;0;3;4;0;0;0;0;0;110;6;4;0;0;0
areas with agricultural crops and important natural spaces;0;0;0;0;0;6;73;20;1;0;0;19;392;7;3;1;11;0;0;0;0;0;18;4;0;14;0;19;0;0;21;6;140;9;14;28;1;1;3;0;3;42;0;7;1;98;0;2;2;38;0;1;30;0;5;7;0;3;23;14;20;0;5;3;207;1;2;0;13;51;0;0;0;118;6;101;0;117;12;10;0;19;0;0;156;4;62;6;0;0
areas with sparse other vegetation;0;0;0;0;0;0;0;18;44;0;0;337;10;954;103;70;2;0;0;0;0;0;2;5;0;4;0;2;0;0;1;4;55;4;6;33;0;0;0;0;3;6;1;1;0;3;1;0;0;0;0;0;6;0;0;0;0;6;0;1;0;0;0;1;9;1;1;0;8;5;0;143;0;13;0;2;0;1;17;0;0;1;0;0;113;2;0;0;1;0
active mining areas;0;3;0;11;0;1;4;165;250;0;0;11;3;10;440;30;21;0;0;0;0;0;19;4;16;1;1;231;6;2;6;2;12;22;0;0;1;5;0;28;197;0;0;0;1;1;4;3;45;7;0;0;6;0;7;3;0;25;10;1;3;1;36;3;39;15;5;6;8;10;0;4;0;25;4;13;0;2;65;3;0;0;0;0;36;1;1;3;102;0
inactive mining areas;0;0;0;0;0;9;7;295;100;0;0;5;2;148;224;120;24;0;0;0;0;0;3;2;3;12;0;41;0;0;36;0;22;21;0;0;1;3;0;1;48;0;0;1;5;0;1;15;18;9;0;1;10;0;1;0;0;1;43;18;2;7;55;0;10;6;27;1;1;15;2;13;0;29;15;11;0;0;215;1;0;0;0;0;193;8;12;1;126;0
urban waste areas;0;1;0;20;0;9;13;3;4;0;0;2;10;8;10;21;592;1;0;0;0;0;42;88;44;8;10;3;0;0;27;2;3;1;2;1;8;0;4;27;53;0;0;29;5;27;3;28;11;32;8;13;24;17;13;45;3;64;31;1;109;8;15;1;30;14;27;13;42;27;0;0;0;19;20;30;0;23;106;32;0;32;0;0;20;4;25;8;24;0
areas for telecommunications systems;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;22;0;0;0;0;0;4;145;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;15;0;0;0;10;15;3;0;1;6;0;0;3;0;1;0;0;0;0;0;0;3;4;3;0;21;0;0;0;0;0;1;7;0;24;21;0;0;8;0;0;1;0;2;0;0;0
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial port areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas for pleasure;0;10;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;22;0;0;129;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0
port areas for fishing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sports areas;0;15;0;6;0;1;4;3;4;0;0;1;27;1;14;3;28;0;0;0;0;0;875;2;5;1;1;58;0;10;3;0;7;1;2;2;0;2;51;29;15;1;1;38;1;2;2;4;4;16;1;2;67;19;15;97;7;28;55;3;57;16;4;22;34;1;12;7;44;2;0;5;0;15;7;21;0;32;5;34;2;56;0;0;5;10;48;18;9;0
green areas associated with roads;0;0;0;3;0;2;4;1;5;0;0;1;3;3;3;2;85;0;0;0;0;0;11;790;23;1;176;11;0;0;42;0;8;1;0;0;4;0;1;35;16;0;0;29;12;6;4;21;2;1;6;15;22;11;16;22;6;33;12;0;22;3;1;0;5;103;26;16;130;10;0;0;0;4;67;18;0;40;50;5;0;18;0;0;8;3;9;12;1;0
embankments;0;1;0;9;0;0;8;43;52;0;0;0;1;0;11;1;9;0;0;0;0;0;7;14;1357;1;8;4;0;0;10;0;1;6;0;1;4;0;1;101;4;0;0;8;5;3;0;25;3;12;0;8;7;0;1;7;0;5;2;0;6;0;38;1;41;4;18;7;7;5;0;0;0;4;47;11;0;13;23;3;0;6;0;0;9;1;2;2;12;0
racetracks;0;2;0;10;0;60;2;6;1;0;0;326;2;37;41;0;29;1;0;0;0;0;92;46;8;110;0;146;0;0;1;0;17;0;0;0;0;0;16;2;47;3;0;1;1;24;2;16;15;6;6;1;15;19;38;15;0;17;53;4;0;6;32;0;34;10;22;3;100;6;0;0;0;189;32;86;0;20;43;0;0;0;0;0;147;12;2;2;16;0
highways and expressways;0;0;0;5;0;2;0;0;1;0;0;0;0;1;9;0;5;0;0;0;0;0;4;204;0;0;1317;1;0;0;6;0;0;0;0;0;1;0;0;2;0;1;0;6;0;0;1;1;3;0;40;2;5;61;10;12;9;26;1;0;3;0;0;0;0;31;2;4;200;1;0;0;0;0;7;4;0;0;6;0;0;2;0;0;0;0;3;1;0;0
artificial basins;0;82;0;0;0;0;8;36;18;0;0;7;2;1;40;9;3;0;0;0;0;0;78;4;19;1;9;938;16;5;15;0;8;17;3;1;4;1;6;107;1;1;0;0;7;5;1;1;1;24;1;1;23;1;6;4;0;10;15;0;20;3;15;1;4;4;5;10;7;11;0;1;0;12;32;10;0;10;47;2;0;0;0;0;9;12;4;11;230;0
natural basins;0;0;0;0;0;0;1;2;127;0;0;34;0;0;16;0;0;0;0;0;0;0;14;1;1;0;0;349;0;475;0;0;6;11;0;0;0;1;0;0;6;0;0;1;0;0;2;2;14;0;0;0;0;0;11;11;2;9;1;0;0;0;0;0;0;6;0;0;0;0;0;4;0;0;0;0;0;1;4;2;0;0;0;0;4;0;0;0;5;0
