;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
aquacultures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aquaculture in a continental environment;0;784;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;10;1;0;0;398;2;0;0;0;0;1;0;0;0;0;0;36;0;0;0;0;0;5;0;0;0;0;1;1;1;0;78;1;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;8;2;0;1;1;0;0;1;0;0;0;0;0;0;658;0
aquaculture in the marine environment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
military airports;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sport flight airports and heliports;0;0;0;0;0;86;11;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;15;17;55;2;0;0;0;0;0;0;0;0;0;0;0;0;6;17;0;0;0;31;0;114;0;0;0;46;0;0;1;0;0;0;0;0;46;0;8;3;1;0;39;0;0;0;17;6;0;0;0;0;47;15;0;15;0;0;0;10;0;0;0;3;30;0;0;0
other wood crops;0;1;0;0;0;0;441;10;0;0;0;22;68;0;0;0;13;0;0;0;0;0;2;7;12;2;0;3;0;0;50;18;23;45;1;2;114;0;0;8;0;1;3;0;0;41;2;2;1;179;0;0;3;0;1;0;0;1;0;21;11;1;351;0;77;0;2;0;6;185;0;0;0;23;43;54;0;27;12;0;0;1;0;0;56;10;12;17;15;0
riverbeds and streams with abundant vegetation;0;0;0;0;0;2;11;932;150;0;0;14;11;27;11;7;6;0;0;0;0;0;8;8;55;2;1;20;7;0;97;0;72;109;2;8;52;6;6;42;3;2;0;0;1;5;7;2;17;5;1;0;2;0;1;2;1;2;7;3;14;3;40;0;1;8;1;4;19;23;0;1;0;8;35;15;0;10;32;3;0;1;0;0;21;0;12;3;19;0
riverbeds and streams with sparse vegetation;0;29;0;0;0;1;1;222;959;0;0;7;2;14;43;9;16;0;0;0;0;0;2;2;189;2;0;130;11;10;6;0;1;7;0;0;2;0;0;63;47;0;0;5;0;3;4;3;11;2;1;0;2;0;1;3;0;3;8;0;3;0;9;0;1;1;2;0;9;14;0;6;0;2;21;15;0;6;62;0;0;0;0;0;2;2;5;1;18;0
bathing areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
