;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2093;279;4;62;12;5;0;0;20;85;7;1;331;11;30;0;0;27;203;10;297;24;0;17;4;93;28;0;3;0;162;41;54;0;1;53;0;19;0;24
areas with evolving shrubby and tree vegetation;344;1213;13;127;479;27;0;0;38;171;23;51;499;52;43;0;9;41;102;23;85;31;0;20;5;132;50;0;6;0;136;100;48;0;0;48;1;10;0;73
airport areas and heliports;0;1;26;1;0;0;0;0;108;132;0;0;0;0;9;0;13;6;50;9;13;11;0;0;0;39;19;0;0;0;119;0;11;0;0;43;0;37;0;0
areas with agricultural crops and important natural spaces;56;175;9;395;16;5;0;0;24;103;9;10;250;16;14;0;5;63;29;2;20;22;0;20;0;200;28;0;6;0;13;149;157;0;3;191;0;7;0;3
areas with sparse vegetation;6;361;1;8;2854;182;0;0;14;7;5;16;175;53;13;0;0;0;40;17;4;14;0;1;0;78;19;0;73;0;4;32;12;0;0;5;0;6;0;0
mining areas;71;308;1;11;192;613;0;0;156;79;335;0;73;1;552;0;0;8;647;61;37;68;0;8;8;37;146;8;31;0;83;33;4;0;0;4;0;28;0;397
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;0;0;0;2;0;109;0;0;0;6;0;0;0;56;0;0;6;0;0;0;0;34;2;0;0;4;0;0;0;0;0;0;0;0;23
recreational and sports areas;65;252;109;56;437;89;0;0;3313;996;589;96;304;42;428;1;104;33;220;58;162;836;0;22;25;291;429;2;30;0;472;259;341;0;50;654;2;50;0;16
green areas;96;125;53;18;11;63;0;0;385;2330;19;24;183;9;251;1;89;52;93;41;36;452;0;27;0;88;349;0;1;0;256;29;129;0;162;572;0;32;0;24
water basins;11;14;1;0;46;119;0;0;98;63;2958;2;62;1;49;0;0;3;528;1;18;79;0;3;0;10;96;3;3;0;109;22;10;0;2;26;6;5;0;775
coniferous forests;2;55;0;12;27;5;0;0;8;9;7;888;149;724;4;2;1;0;13;2;0;3;0;0;1;17;15;1;2;0;0;3;3;0;11;36;0;0;0;0
deciduous forests;469;545;7;175;80;15;0;0;70;371;73;44;7488;178;98;7;8;18;922;22;49;95;0;11;19;87;160;1;14;0;414;66;105;0;19;225;4;28;0;113
mixed coniferous and broad-leaved forests;4;111;0;27;76;8;0;0;6;5;0;232;528;861;6;0;0;1;44;0;3;3;0;0;0;35;5;0;7;0;2;14;2;0;3;15;0;1;0;1
construction sites;21;23;48;9;25;153;0;0;144;301;17;0;74;3;1316;0;37;8;154;101;20;482;0;0;0;49;364;1;3;0;330;31;39;0;31;178;0;13;0;25
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;12;3;13;2;0;1;0;0;63;80;1;1;21;2;41;0;694;7;5;24;1;296;0;0;0;15;108;0;0;0;64;11;3;0;118;413;0;1;0;0
temporary crops associated with permanent crops;69;88;19;49;5;48;0;0;100;210;4;0;50;0;84;0;5;195;110;9;21;43;0;7;12;155;45;1;0;0;267;96;174;0;3;94;0;34;0;3
waterways, canals and waterways;95;139;25;20;37;128;0;0;60;190;137;4;416;5;164;0;5;23;5497;50;22;95;0;3;0;39;215;2;22;0;325;23;50;0;9;76;0;13;0;111
landfills and scrap yards;57;233;12;23;97;321;0;0;104;258;36;1;136;0;213;0;7;47;93;509;6;1059;0;0;0;390;584;1;21;0;181;491;23;0;4;63;0;2;0;17
orchards;90;52;7;8;6;2;0;0;24;36;5;0;18;2;28;0;3;11;18;5;1175;25;0;26;0;14;12;0;0;0;94;19;53;0;2;43;0;220;0;2
industrial, commercial, large-scale plant and service settlements;50;137;69;38;9;69;0;0;394;561;120;2;318;17;525;0;263;43;512;152;27;5315;0;6;0;46;1281;0;4;0;375;48;108;0;471;956;0;24;0;27
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;2;24;100;5;55;0;0;0;99;116;19;0;23;0;14;0;13;8;3;2;191;17;0;697;0;20;82;0;1;0;145;81;132;0;0;104;0;47;0;0
high altitude prairies and moors;0;0;0;1;43;0;0;0;1;0;0;0;36;10;0;12;0;0;0;1;0;0;0;0;1873;0;0;0;21;0;0;0;0;0;0;0;2;0;0;0
stable meadows;20;98;21;131;37;7;0;0;30;26;3;2;68;6;12;0;8;57;9;1;15;23;0;13;1;694;17;0;0;0;99;503;43;0;2;43;0;10;0;1
road and railway infrastructure networks and areas and ancillary spaces;37;118;181;37;23;68;0;0;148;478;93;7;200;5;722;0;126;10;369;195;21;2891;0;1;1;70;7747;4;5;0;571;45;71;0;316;334;0;21;0;6
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;2;48;0;0;312;2;0;0;0;0;0;0;124;2;11;0;31;0;1;0;0;2;0;0;0;0;5;0;131;0;0;4;0;0;0;22;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;293;37;17;1;3;17;0;0;114;227;26;0;85;0;158;0;51;29;87;21;213;187;0;13;0;40;138;8;19;0;3739;44;141;0;20;210;0;35;0;27
non-irrigated arable land;15;23;8;48;21;4;0;0;21;14;6;2;40;2;26;0;2;32;14;8;17;24;0;16;0;319;15;0;1;0;180;1052;24;0;0;48;1;17;0;0
complex cultivation and parcel systems;50;68;0;45;1;7;0;0;109;199;6;2;106;5;75;0;15;17;37;9;91;92;0;38;0;61;64;1;0;0;201;49;325;0;23;260;0;42;0;2
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;4;3;1;1;1;6;0;0;34;65;0;0;16;1;26;0;91;1;22;34;7;430;0;0;0;2;291;0;0;0;10;2;7;0;2556;383;0;6;0;0
