;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2219;311;4;40;20;6;0;0;20;65;9;4;370;0;31;0;1;44;223;12;208;15;0;11;2;77;35;0;1;0;121;32;48;0;3;45;0;13;0;10
areas with evolving shrubby and tree vegetation;301;1188;3;81;561;17;0;0;67;143;25;31;643;71;46;2;3;26;82;59;47;34;0;14;2;104;88;0;5;0;113;75;71;0;0;37;0;15;0;46
airport areas and heliports;5;27;3;0;0;4;0;0;49;71;11;0;2;0;2;0;0;0;103;21;14;7;0;0;0;22;38;0;0;0;84;3;29;0;0;76;0;76;0;0
areas with agricultural crops and important natural spaces;43;236;2;317;19;10;0;0;73;92;7;13;241;23;14;1;5;70;21;13;25;32;0;19;1;160;38;0;2;0;19;131;175;0;5;190;0;3;0;0
areas with sparse vegetation;4;190;6;9;3089;185;0;0;6;4;4;11;111;26;15;0;0;2;41;28;4;6;0;13;0;25;38;0;132;0;6;29;8;0;0;7;0;1;0;0
mining areas;32;171;6;0;236;744;0;0;139;96;237;0;103;0;540;0;0;1;776;83;10;67;0;12;0;23;120;14;3;0;75;22;14;0;0;2;0;25;0;449
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;1;0;0;12;5;151;0;0;0;0;0;0;0;22;0;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;2;0;39
recreational and sports areas;58;233;126;21;289;291;0;0;3949;888;571;75;303;100;228;3;66;52;90;126;51;708;0;77;23;107;756;1;12;0;487;334;167;0;33;560;0;41;0;7
green areas;89;117;24;21;7;25;0;0;468;2273;22;25;184;6;249;0;60;33;101;83;20;584;0;17;0;68;436;1;0;0;222;28;106;0;123;568;0;16;0;24
water basins;18;24;1;1;40;114;0;0;125;34;3031;2;64;0;50;0;0;3;316;16;11;133;0;2;0;3;79;0;15;0;89;26;10;0;0;21;0;6;0;889
coniferous forests;9;34;0;13;30;3;0;0;19;4;2;977;186;629;2;7;4;0;4;1;1;5;0;1;1;5;7;0;5;0;0;6;0;0;4;41;0;0;0;0
deciduous forests;433;484;1;97;95;16;0;0;104;345;98;63;7875;164;74;6;15;22;683;52;31;103;0;22;21;51;196;0;2;0;438;49;116;0;5;166;1;8;0;164
mixed coniferous and broad-leaved forests;8;83;0;16;98;1;0;0;10;5;5;263;500;886;2;0;0;6;30;1;3;5;0;0;0;27;7;0;3;0;4;14;4;0;2;17;0;0;0;0
construction sites;40;59;23;6;16;149;0;0;133;295;12;0;60;2;1269;0;33;3;149;166;16;525;0;1;0;35;394;0;1;0;285;53;30;0;39;169;0;7;0;30
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;4;2;5;5;0;0;0;0;59;82;0;0;11;0;28;0;724;2;7;4;0;414;0;0;0;11;152;0;0;0;52;22;4;0;106;298;0;8;0;0
temporary crops associated with permanent crops;77;50;5;38;3;38;0;0;173;254;7;0;72;0;74;0;3;194;101;31;17;109;0;6;0;103;31;0;0;0;281;69;143;0;3;87;0;22;0;9
waterways, canals and waterways;96;61;8;6;58;155;0;0;75;157;384;1;462;7;174;0;20;17;5271;64;13;113;0;2;0;21;332;1;12;0;263;17;32;0;6;57;0;12;0;103
landfills and scrap yards;53;348;7;28;73;608;0;0;183;160;10;0;101;0;165;0;6;22;72;581;0;989;0;3;0;195;709;1;2;0;129;447;52;0;5;38;0;2;0;0
orchards;99;30;9;5;4;4;0;0;49;47;4;0;23;0;19;0;2;8;22;3;1163;26;0;28;0;10;19;0;0;0;104;21;54;0;2;46;0;197;0;2
industrial, commercial, large-scale plant and service settlements;95;74;54;35;5;37;0;0;413;628;150;5;398;2;357;0;155;13;392;178;25;5454;0;5;0;34;1663;1;2;0;269;53;73;0;474;879;0;16;0;28
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;9;21;63;2;26;1;0;0;317;175;2;0;26;0;3;0;4;30;3;20;125;15;0;697;0;7;15;0;0;0;36;103;108;0;0;93;0;99;0;0
high altitude prairies and moors;0;0;0;2;45;0;0;0;4;0;0;0;37;0;0;18;0;0;0;0;0;0;0;0;1830;0;0;0;63;0;0;0;0;0;0;0;1;0;0;0
stable meadows;18;91;16;129;48;14;0;0;48;41;3;3;66;3;8;0;6;48;19;5;10;28;0;14;2;678;19;0;0;0;71;535;30;0;1;41;0;3;0;2
road and railway infrastructure networks and areas and ancillary spaces;38;73;80;48;42;90;0;0;223;352;94;12;216;5;614;0;116;11;371;331;28;2891;0;2;7;32;7895;0;3;0;594;65;59;0;271;336;1;18;0;3
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;2;36;0;0;349;12;0;0;0;26;0;15;30;5;8;0;0;0;2;0;0;24;0;0;0;0;2;0;108;0;0;7;0;0;0;71;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;150;79;7;3;3;22;0;0;272;198;26;0;98;0;154;0;25;47;102;28;207;204;0;2;0;41;162;5;12;0;3770;35;94;0;11;177;0;40;0;26
non-irrigated arable land;15;33;7;48;23;9;0;0;28;19;9;3;49;3;12;0;4;46;3;8;12;13;0;16;0;318;16;1;0;0;148;1075;32;0;1;44;0;5;0;0
complex cultivation and parcel systems;54;78;5;24;3;3;0;0;136;219;24;2;105;0;55;0;34;43;53;12;44;108;0;39;0;44;61;0;1;0;146;73;335;0;18;248;0;32;0;1
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;1;0;1;3;0;0;0;0;27;75;1;0;6;1;19;0;87;0;22;12;3;477;0;0;0;0;259;0;0;0;10;3;3;0;2668;315;0;7;0;0
discontinuous fabric;15;22;4;32;6;3;0;0;169;325;8;9;86;14;111;0;109;17;40;12;12;441;0;5;0;27;207;0;1;0;126;36;90;0;288;1766;0;17;0;2
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;206;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
vineyards;13;17;3;2;1;2;0;0;25;20;1;0;5;0;9;0;1;7;15;2;119;13;0;19;0;4;15;0;0;0;59;12;41;0;2;16;0;1574;0;3
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;11;35;2;1;8;28;0;0;5;37;232;0;150;0;66;0;0;19;251;28;5;25;0;0;0;0;41;0;0;0;26;3;2;0;0;2;0;0;0;1023
