;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2211;303;0;36;4;1;0;0;4;69;5;2;390;1;31;0;0;23;181;1;261;24;0;14;0;54;29;0;0;0;148;33;65;0;1;64;0;40;0;5
areas with evolving shrubby and tree vegetation;291;1530;3;78;368;19;0;0;69;153;32;43;600;47;48;0;0;19;82;24;51;56;0;20;2;126;38;0;2;0;81;76;41;0;0;38;0;5;0;58
airport areas and heliports;10;0;13;0;0;0;0;0;133;61;5;0;1;0;4;0;8;20;58;1;62;27;0;4;0;1;58;0;0;0;85;0;4;0;0;91;0;1;0;0
areas with agricultural crops and important natural spaces;77;237;1;268;16;2;0;0;57;95;8;11;289;9;8;0;5;87;12;0;23;43;0;18;0;168;25;0;0;0;22;140;157;0;4;216;0;2;0;0
areas with sparse vegetation;3;367;1;7;2904;181;0;0;5;6;7;8;126;35;13;0;0;1;47;19;4;3;0;6;0;55;38;0;105;0;2;45;7;0;0;4;0;1;0;0
mining areas;35;316;0;4;41;728;0;0;113;82;376;0;89;0;818;0;0;3;754;86;29;72;0;7;0;13;97;1;3;0;33;36;7;0;0;1;0;0;0;256
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;0;0;0;1;0;207;0;0;0;0;0;0;0;9;0;0;16;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;6
recreational and sports areas;31;312;55;38;191;318;0;0;3877;1087;589;175;266;253;374;1;93;13;113;196;74;761;0;33;30;169;470;0;8;0;332;158;149;0;51;565;0;45;0;6
green areas;77;105;34;7;3;25;0;0;392;2497;23;21;162;8;288;0;60;27;82;34;26;610;0;12;0;42;392;0;0;0;180;24;73;0;119;649;0;12;0;16
water basins;15;20;0;2;44;82;0;0;124;47;3237;1;51;0;93;0;0;2;304;5;14;123;0;7;0;3;91;1;0;0;72;8;7;0;1;28;0;7;0;734
coniferous forests;3;58;0;5;34;4;0;0;11;1;1;891;208;679;0;3;1;0;8;0;0;5;0;1;5;6;13;0;1;0;3;3;2;0;4;50;0;0;0;0
deciduous forests;453;510;0;112;43;15;0;0;66;400;78;38;7897;172;93;4;4;23;647;26;63;138;0;15;25;57;217;0;7;0;380;73;104;0;7;255;1;11;0;66
mixed coniferous and broad-leaved forests;5;80;0;14;68;10;0;0;3;5;0;266;527;912;1;0;0;2;24;1;1;1;0;0;0;28;4;0;10;0;4;12;8;0;0;14;0;0;0;0
construction sites;18;42;28;7;11;80;0;0;126;301;30;0;44;2;1496;0;45;6;113;119;12;627;0;2;0;17;370;0;1;0;212;37;19;0;34;179;0;5;0;17
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;6;4;2;7;0;0;0;0;85;98;1;1;10;0;31;0;728;0;5;4;0;457;0;0;0;2;122;0;0;0;35;8;2;0;81;311;0;0;0;0
