;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2139;377;7;24;11;3;0;0;13;63;8;0;370;4;39;0;0;37;189;13;272;25;0;13;3;56;14;0;1;0;137;23;60;0;1;41;0;34;0;23
areas with evolving shrubby and tree vegetation;285;1427;4;71;556;15;0;0;45;95;42;51;510;59;32;0;2;35;110;40;66;45;0;14;4;95;50;0;4;0;64;63;57;0;2;54;0;19;0;84
airport areas and heliports;0;5;53;6;0;0;0;0;329;53;0;0;0;0;27;0;5;13;39;1;0;4;0;0;0;10;9;0;0;0;9;2;32;0;1;14;0;32;0;3
areas with agricultural crops and important natural spaces;93;276;0;268;20;3;0;0;43;64;13;15;188;19;8;0;6;147;12;0;22;37;0;17;0;185;26;0;0;0;19;137;182;0;0;190;0;10;0;0
areas with sparse vegetation;5;371;0;7;2977;185;0;0;3;2;12;5;53;81;4;0;0;4;38;10;4;16;0;8;3;24;31;0;110;0;2;25;18;0;0;1;0;1;0;0
mining areas;48;349;1;3;29;673;0;0;49;219;311;1;34;0;532;0;2;0;560;111;43;126;0;1;0;15;176;5;50;0;58;24;28;0;0;5;0;35;0;512
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;8;0;0;9;0;157;0;0;0;0;0;0;0;44;0;0;5;0;0;0;0;15;0;0;0;0;0;0;0;2;0;0;0;0;2
recreational and sports areas;56;299;101;39;591;147;0;0;3306;1099;667;117;413;157;326;0;123;69;112;73;83;698;0;44;33;135;491;0;10;0;322;301;425;0;49;494;0;35;0;18
green areas;123;166;23;19;11;42;0;0;528;2290;37;28;165;16;249;0;91;50;124;47;29;481;0;35;1;60;341;0;0;0;160;23;135;0;102;547;0;38;0;39
water basins;14;20;0;6;44;111;0;0;213;33;3109;1;61;0;45;0;8;0;364;4;15;75;0;4;0;17;51;0;2;0;51;13;10;0;2;6;10;4;0;830
coniferous forests;4;58;0;11;25;4;0;0;5;1;4;1052;113;598;3;0;0;0;4;0;0;9;0;0;3;22;9;0;11;0;2;10;1;0;2;49;0;0;0;0
deciduous forests;601;495;1;219;90;32;0;0;59;304;128;67;7504;214;93;6;14;24;737;19;31;138;0;27;49;77;190;1;8;0;263;49;118;0;17;241;4;11;0;169
mixed coniferous and broad-leaved forests;6;86;0;18;108;2;0;0;9;5;0;340;411;905;0;0;0;6;20;0;0;2;0;0;0;31;9;0;4;0;1;12;1;0;1;22;0;1;0;0
construction sites;51;55;34;2;12;140;0;0;138;289;32;0;70;1;1458;0;41;8;181;121;24;470;0;2;0;20;283;0;10;0;217;38;43;0;40;136;0;18;0;66
