;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2242;299;4;51;13;1;0;0;20;100;4;0;333;4;40;0;0;41;212;4;174;25;0;17;4;53;20;1;0;0;122;32;76;0;0;44;0;54;0;10
areas with evolving shrubby and tree vegetation;285;1328;2;80;508;22;0;0;53;137;29;42;586;61;46;0;5;34;111;50;42;32;0;38;1;84;49;0;10;0;109;82;60;0;1;35;0;17;0;61
airport areas and heliports;1;35;66;1;0;0;0;0;130;85;0;0;2;0;1;0;10;36;78;9;4;8;0;0;0;0;64;0;0;0;65;0;12;0;0;20;0;20;0;0
areas with agricultural crops and important natural spaces;50;232;2;348;17;5;0;0;80;67;6;9;266;20;15;1;4;111;11;2;8;23;0;17;0;212;20;1;1;0;19;125;189;0;1;137;0;1;0;0
areas with sparse vegetation;3;227;2;6;2969;180;0;0;15;3;10;4;148;36;7;0;0;0;42;26;2;12;0;23;0;25;35;0;161;0;7;39;7;0;0;5;0;6;0;0
mining areas;95;185;23;4;87;892;0;0;78;95;284;0;76;0;515;0;0;2;958;139;55;42;0;26;0;21;99;0;2;0;31;46;14;0;0;1;0;5;0;225
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;2;0;0;0;0;0;25;18;94;0;0;0;0;0;0;0;64;0;0;28;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;5
recreational and sports areas;50;268;158;30;261;133;0;0;4113;908;592;129;209;235;336;1;71;34;139;188;78;650;0;98;31;106;571;0;7;0;499;184;161;0;53;450;0;74;0;16
green areas;111;130;34;16;15;47;0;0;424;2421;20;22;174;5;269;1;64;58;105;57;20;452;0;13;1;41;489;0;0;0;193;28;121;0;95;535;0;14;0;25
water basins;12;20;5;2;35;54;0;0;111;36;3216;0;55;0;45;0;0;6;416;13;25;94;0;7;0;5;132;2;0;0;98;13;10;0;0;10;0;5;0;696
coniferous forests;2;38;0;10;48;2;0;0;18;2;2;919;135;713;1;4;6;1;12;1;0;11;0;1;2;8;7;0;4;0;3;6;0;0;2;41;0;0;0;1
deciduous forests;445;442;5;102;79;13;0;0;119;321;120;38;7963;190;72;8;16;31;708;32;38;114;0;18;20;58;214;0;2;0;374;73;99;0;8;164;3;12;0;99
mixed coniferous and broad-leaved forests;5;114;0;16;94;4;0;0;3;1;4;223;481;951;1;0;2;12;30;0;0;1;0;2;0;19;1;0;4;0;2;12;4;0;1;13;0;0;0;0
construction sites;45;43;38;5;26;125;0;0;147;286;24;1;61;0;1334;0;44;8;139;184;20;482;0;1;0;17;463;0;0;0;238;25;27;0;21;152;0;16;0;28
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;6;0;5;5;0;1;0;0;55;96;1;3;12;0;22;0;793;4;15;22;0;375;0;0;0;6;104;0;1;0;48;16;5;0;88;312;0;5;0;0
temporary crops associated with permanent crops;78;78;16;54;3;17;0;0;128;245;5;0;79;1;75;0;6;287;51;11;45;49;0;29;0;76;44;0;0;0;257;85;174;0;5;63;0;28;0;11
waterways, canals and waterways;120;85;24;9;45;95;0;0;74;118;299;2;471;9;175;0;4;13;5549;54;12;99;0;2;0;22;309;1;5;0;229;8;20;0;4;39;0;9;0;95
landfills and scrap yards;51;409;10;6;82;510;0;0;129;177;45;0;140;0;220;0;6;3;109;469;2;990;0;14;20;176;815;0;0;0;77;395;13;0;4;66;0;4;0;47
orchards;91;39;1;10;2;0;0;0;55;48;6;0;15;0;23;0;3;7;26;3;1198;18;0;38;0;8;11;0;0;0;98;19;61;0;0;47;0;172;0;1
industrial, commercial, large-scale plant and service settlements;89;135;63;34;4;36;0;0;385;596;78;1;432;2;419;0;208;45;349;212;28;5605;0;5;0;38;1577;3;3;0;236;35;59;0;466;751;0;18;0;55
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;8;13;70;6;24;1;0;0;332;294;8;0;16;0;4;0;10;6;1;18;86;38;0;625;0;2;20;0;0;0;21;46;178;0;0;83;0;90;0;0
high altitude prairies and moors;0;0;0;0;93;0;0;0;12;0;0;0;31;0;0;17;0;0;0;0;0;0;0;0;1817;0;0;0;23;0;0;0;0;0;0;0;7;0;0;0
stable meadows;25;113;13;129;35;14;0;0;57;33;3;1;65;2;7;0;5;41;20;6;8;13;0;26;1;658;25;0;0;0;83;525;41;0;1;43;0;5;0;2
road and railway infrastructure networks and areas and ancillary spaces;41;96;91;15;30;63;0;0;162;405;62;9;218;7;715;0;93;10;373;271;5;2942;0;4;3;35;8139;0;7;0;451;47;35;0;284;273;0;23;0;12
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;15;0;0;382;2;0;0;10;1;7;0;87;0;6;0;26;0;0;0;0;19;0;0;2;1;5;0;105;0;0;1;0;0;0;28;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;242;53;17;6;1;31;0;0;197;240;21;0;57;2;178;0;34;46;119;68;155;176;0;7;0;34;133;1;18;0;3881;36;70;0;7;109;0;31;0;30
non-irrigated arable land;19;28;5;49;16;9;0;0;29;13;4;1;40;2;7;0;3;54;6;7;16;21;0;31;0;298;14;0;3;0;120;1128;24;0;0;43;0;10;0;0
complex cultivation and parcel systems;48;53;7;49;2;3;0;0;138;245;9;0;90;1;61;0;19;47;65;13;94;73;0;32;0;58;68;1;0;0;185;60;317;0;7;215;0;38;0;2
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;0;0;3;2;0;1;0;0;45;62;0;1;5;0;13;0;125;0;23;16;2;476;0;0;0;2;176;0;0;0;5;5;7;0;2665;365;0;1;0;0
discontinuous fabric;16;25;17;40;5;1;0;0;174;297;6;21;81;13;107;0;173;19;48;20;25;399;0;10;0;21;215;0;0;0;128;32;106;0;230;1747;0;23;0;1
peat bogs;0;0;0;0;0;0;0;0;6;0;0;0;42;0;0;2;0;0;0;0;0;0;0;0;198;0;0;0;0;0;0;0;0;0;0;0;6;0;0;3
vineyards;18;12;5;2;0;2;0;0;28;28;0;0;4;0;5;0;6;10;11;4;109;7;0;34;0;5;10;0;0;0;49;5;37;0;0;22;0;1583;0;4
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;23;38;3;0;4;77;0;0;7;36;253;0;159;0;52;0;0;7;193;15;0;13;0;0;0;2;29;0;0;0;49;2;1;0;0;2;5;0;0;1030
