;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2232;274;0;47;22;2;0;0;20;75;6;2;371;7;29;0;0;44;206;12;226;25;0;18;0;64;32;0;1;0;110;27;58;0;2;38;0;28;0;22
areas with evolving shrubby and tree vegetation;280;1244;3;84;529;17;0;0;54;96;49;58;553;73;48;1;4;31;79;38;121;56;0;19;3;152;77;0;3;0;90;62;58;0;1;48;0;29;0;40
airport areas and heliports;0;1;53;1;0;1;0;0;146;47;1;0;0;0;1;0;10;36;50;4;2;40;0;0;0;27;48;0;0;0;44;3;6;0;0;41;0;85;0;0
areas with agricultural crops and important natural spaces;52;192;5;381;16;3;0;0;60;82;9;10;219;22;23;0;5;122;14;4;34;39;0;18;0;209;35;0;1;0;5;118;130;0;4;171;0;16;0;1
areas with sparse vegetation;7;281;4;10;2866;245;0;0;16;5;12;5;111;48;29;0;1;1;31;22;3;5;0;8;1;62;25;0;134;0;1;47;6;0;0;9;0;5;0;0
mining areas;61;252;2;4;147;762;0;0;105;99;336;0;168;0;773;0;2;0;540;96;17;75;0;7;0;14;55;0;2;0;52;20;8;0;0;1;0;15;0;387
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;0;0;0;1;0;192;0;0;0;1;0;0;0;19;0;0;24;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
recreational and sports areas;74;326;153;40;361;164;0;0;4087;801;733;74;277;201;266;0;92;24;201;70;99;639;0;82;28;171;599;0;12;0;319;196;143;0;58;457;1;66;0;19
green areas;100;124;36;16;5;23;0;0;522;2302;29;14;210;12;260;0;108;45;123;47;38;452;0;20;0;68;401;0;2;0;151;27;120;0;166;538;0;23;0;18
