;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
wood arboriculture;2309;316;3;61;18;3;0;0;20;52;2;0;388;2;35;0;0;19;220;13;140;11;0;21;0;55;36;0;0;0;140;23;47;0;0;32;0;28;0;6
areas with evolving shrubby and tree vegetation;304;1208;10;82;538;33;0;0;64;117;25;31;691;51;33;0;2;43;141;88;29;30;0;40;1;74;80;0;0;0;98;90;30;0;0;31;0;4;0;32
airport areas and heliports;0;0;158;5;0;0;0;0;94;66;0;0;0;0;0;0;3;14;130;0;1;31;0;0;0;2;72;0;0;0;42;0;5;0;0;24;0;0;0;0
areas with agricultural crops and important natural spaces;21;221;4;390;13;3;0;0;111;75;11;4;296;12;8;0;2;102;8;3;13;12;0;35;1;143;21;0;0;0;17;128;172;0;1;169;0;2;0;2
areas with sparse vegetation;3;211;1;9;3038;187;0;0;18;1;7;7;145;41;4;0;0;0;42;37;0;8;0;23;0;25;31;0;102;0;3;46;5;0;0;3;0;3;0;0
mining areas;42;238;7;6;150;881;0;0;97;58;296;0;123;0;418;0;2;5;969;99;22;69;0;8;0;5;156;46;11;0;55;19;5;0;0;0;0;22;0;191
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas;0;0;0;0;0;0;0;0;48;0;136;0;1;0;0;0;0;0;36;1;0;5;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;5
recreational and sports areas;38;242;123;30;283;94;0;0;4658;748;621;90;280;209;267;2;59;50;143;147;48;586;0;75;25;131;689;1;30;0;378;146;126;0;34;417;0;48;0;15
green areas;92;121;71;18;6;45;0;0;593;2354;15;19;217;6;184;0;66;57;104;69;19;385;0;20;0;47;514;0;0;0;202;12;101;0;102;515;0;20;0;26
water basins;11;16;1;2;44;97;0;0;95;24;3301;0;67;0;36;0;0;5;405;13;8;111;0;2;0;3;142;0;1;0;91;14;7;0;0;12;0;3;0;612
coniferous forests;1;34;0;8;36;5;0;0;29;0;1;912;211;669;0;7;1;0;9;0;0;3;0;0;1;7;11;0;2;0;0;2;0;0;6;45;0;0;0;0
deciduous forests;405;276;5;116;63;8;0;0;125;261;50;15;8312;156;53;14;11;28;844;35;26;84;0;26;14;47;205;0;7;0;458;48;79;0;7;154;0;3;0;65
mixed coniferous and broad-leaved forests;1;76;0;16;88;0;0;0;8;3;2;213;547;972;0;0;0;6;22;1;0;1;0;0;0;15;0;0;6;0;3;13;0;0;2;5;0;0;0;0
construction sites;46;23;46;2;18;177;0;0;181;250;7;1;58;0;1251;0;33;7;157;211;17;483;0;1;0;17;520;0;1;0;260;30;13;0;29;136;0;6;0;19
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;2;4;11;12;0;0;0;0;120;107;0;0;19;1;24;0;682;1;9;17;0;412;0;1;0;4;137;0;0;0;45;12;3;0;66;307;0;4;0;0
temporary crops associated with permanent crops;84;88;17;39;4;54;0;0;150;245;6;0;63;0;42;0;7;274;86;13;19;53;0;34;0;77;35;0;1;0;224;112;182;0;5;70;0;14;0;2
waterways, canals and waterways;95;60;25;6;74;130;0;0;99;93;252;0;500;7;165;0;3;12;5489;45;11;107;0;5;0;8;345;1;14;0;270;17;19;0;4;43;0;5;0;96
landfills and scrap yards;89;151;24;9;23;363;0;0;292;82;11;0;104;0;131;0;1;17;141;1128;10;823;0;0;0;41;806;0;0;0;193;410;31;0;1;50;0;24;0;34
orchards;114;31;8;14;1;5;0;0;72;44;5;0;22;0;12;0;1;13;30;2;1127;13;0;57;0;7;15;0;0;0;117;13;40;0;1;40;0;195;0;1
industrial, commercial, large-scale plant and service settlements;56;76;86;26;4;56;0;0;531;606;97;2;406;1;327;0;171;23;412;234;19;5398;0;6;0;20;1820;1;1;0;278;33;39;0;446;743;0;21;0;28
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;18;12;32;3;23;0;0;0;206;138;5;0;21;0;6;0;0;1;8;1;57;17;0;960;0;18;56;0;0;0;34;56;164;0;0;47;0;117;0;0
high altitude prairies and moors;0;0;0;0;21;0;0;0;3;0;0;0;24;1;0;47;0;0;0;0;0;0;0;0;1863;0;1;0;39;0;0;0;0;0;0;0;1;0;0;0
stable meadows;20;113;14;143;34;15;0;0;63;30;2;1;66;2;9;1;1;63;25;4;3;14;0;32;1;647;21;0;0;0;88;515;34;0;0;34;0;5;0;0
road and railway infrastructure networks and areas and ancillary spaces;33;38;158;40;26;73;0;0;223;298;45;6;207;2;661;0;88;11;342;439;9;2570;0;0;1;33;8378;0;6;0;592;41;21;0;282;278;0;14;0;6
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;28;0;0;366;0;0;0;0;4;0;0;120;0;1;0;6;0;0;2;0;0;0;0;0;0;4;0;109;0;0;2;0;0;0;55;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;351;67;10;3;0;19;0;0;221;179;15;0;60;0;130;0;26;22;100;49;162;185;0;9;0;16;158;1;2;0;3956;33;44;0;2;120;0;40;0;20
non-irrigated arable land;11;23;6;52;11;8;0;0;39;9;2;1;48;0;10;0;2;49;7;13;10;20;0;41;0;275;15;0;1;0;163;1116;23;0;0;38;0;7;0;0
complex cultivation and parcel systems;68;36;6;42;0;6;0;0;218;237;7;0;111;1;51;0;11;50;51;11;80;55;0;44;0;33;78;0;0;0;206;45;302;0;5;203;0;43;0;0
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;2;0;1;3;0;0;0;0;51;67;1;0;7;0;12;0;112;1;16;18;3;393;0;0;0;1;164;0;0;0;6;5;5;0;2778;352;0;2;0;0
discontinuous fabric;16;23;12;33;3;0;0;0;261;304;5;7;101;7;60;0;143;17;49;26;23;402;0;18;0;11;253;0;0;0;125;32;68;0;225;1751;0;25;0;0
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;209;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
vineyards;19;7;4;1;0;0;0;0;34;18;1;0;6;0;9;0;5;4;15;0;100;5;0;42;0;3;14;0;0;0;64;11;24;0;0;10;0;1602;0;2
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;10;31;0;0;11;77;0;0;6;28;264;0;134;0;45;0;0;9;257;26;3;8;0;0;0;4;38;2;0;0;55;1;0;0;0;0;0;1;0;990
