;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;8986;0;187;466;403;495;223;455;86;441;85;116;1100;0;80
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;150;0;3333;635;82;203;295;75;143;251;214;519;50;0;50
wooded areas;860;0;794;11208;143;571;619;298;86;408;352;232;129;0;300
mining areas, landfills, construction sites and artificial and abandoned land;1367;0;811;163;3886;1129;344;2707;430;899;161;376;373;0;343
non-agricultural artificial green areas;944;0;429;792;907;8041;427;2695;364;1235;649;279;37;0;2034
permanent crops;251;0;523;368;103;535;6756;208;99;534;347;34;24;0;218
production, commercial, public and private service establishments, networks and infrastructural areas;1135;0;259;484;1676;2562;376;17642;122;1065;273;84;86;0;2013
stable meadows;14;0;110;60;18;81;47;41;650;668;239;36;1;0;35
arable land;116;0;176;116;356;574;527;350;323;4917;274;35;20;0;216
heterogeneous agricultural areas;194;0;346;446;203;876;472;307;401;799;1406;31;5;0;514
open areas with sparse or absent vegetation;49;0;363;231;190;48;22;94;71;100;33;3478;0;0;18
internal wetlands;398;0;254;181;120;75;24;27;2;93;44;9;1026;0;4
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;75;0;20;109;134;799;64;1382;28;217;185;17;0;0;4970
