;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9231;0;109;573;522;316;161;728;15;448;77;113;740;0;90
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;122;1;3030;773;108;199;549;133;83;189;155;577;41;0;40
wooded areas;784;0;484;11660;134;532;571;395;89;558;291;185;111;0;206
mining areas, landfills, construction sites and artificial and abandoned land;1438;0;452;245;4448;1142;151;2922;226;1016;169;168;359;0;253
non-agricultural artificial green areas;865;0;491;953;1088;8591;391;3166;150;832;458;246;24;0;1578
permanent crops;232;0;307;400;138;827;6633;260;90;490;448;27;14;0;134
production, commercial, public and private service establishments, networks and infrastructural areas;1198;0;210;616;1666;2331;259;18325;88;988;224;36;77;0;1759
stable meadows;24;0;123;65;29;91;68;62;576;620;269;31;2;0;40
arable land;135;0;104;129;259;512;544;493;281;5022;289;32;17;0;183
heterogeneous agricultural areas;123;0;309;406;218;929;481;483;276;670;1626;40;10;1;428
open areas with sparse or absent vegetation;60;0;362;276;269;68;26;64;37;49;22;3435;0;0;29
internal wetlands;512;0;287;163;139;33;30;45;6;57;25;9;948;0;3
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;71;0;32;138;157;901;70;1520;25;163;176;10;3;0;4734
