;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;10178;0;39;562;257;270;209;600;4;266;62;0;644;0;32
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;151;0;3341;1099;67;147;467;134;140;136;248;0;47;0;23
wooded areas;1069;0;570;11929;36;349;591;320;75;462;375;0;43;0;181
mining areas, landfills, construction sites and artificial and abandoned land;1747;0;351;457;3451;1102;142;4192;137;773;144;0;287;0;206
non-agricultural artificial green areas;963;0;406;1003;690;9383;415;2805;174;820;620;0;13;0;1541
permanent crops;308;0;273;545;66;691;6803;157;90;361;616;0;10;0;80
production, commercial, public and private service establishments, networks and infrastructural areas;1294;0;109;614;1588;2346;268;18411;74;799;337;0;47;0;1890
stable meadows;23;0;121;66;13;86;78;44;787;465;290;0;0;0;27
arable land;127;0;47;115;155;415;552;357;411;5215;426;0;21;0;159
heterogeneous agricultural areas;187;0;349;380;100;1023;424;322;365;536;1996;0;0;0;318
open areas with sparse or absent vegetation;65;0;414;3837;74;56;41;135;28;10;15;0;0;0;22
internal wetlands;456;0;261;158;83;40;17;100;1;20;15;0;1106;0;0
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;88;0;18;99;47;803;80;1051;25;164;242;0;0;0;5383
