;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9461;0;101;628;542;351;140;585;29;299;58;116;722;0;91
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;130;0;3102;836;108;186;449;114;131;179;118;539;62;0;46
wooded areas;849;0;523;11935;117;466;473;350;71;468;249;186;59;0;254
mining areas, landfills, construction sites and artificial and abandoned land;1361;0;537;294;4829;951;146;2842;351;859;83;176;291;0;269
non-agricultural artificial green areas;777;0;384;934;1096;9447;382;2721;174;787;271;232;18;0;1610
permanent crops;305;0;354;448;93;727;6885;180;92;447;277;24;8;0;160
production, commercial, public and private service establishments, networks and infrastructural areas;1043;0;197;572;1612;2207;314;18980;77;569;177;24;42;0;1963
stable meadows;15;0;86;73;27;73;66;58;686;646;211;25;0;0;34
arable land;149;0;79;118;213;469;501;483;316;5210;207;16;14;0;225
heterogeneous agricultural areas;166;0;303;437;154;973;572;352;425;717;1329;11;2;0;559
open areas with sparse or absent vegetation;50;0;251;313;217;52;29;37;39;65;10;3585;0;0;49
internal wetlands;506;0;282;203;128;49;26;52;8;56;15;4;925;0;3
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;89;0;22;116;141;908;73;1373;22;138;108;8;1;0;5001
