;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;8697;0;136;521;574;511;196;815;23;235;96;137;1109;0;73
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;138;0;3069;665;144;218;447;149;76;126;234;629;66;0;39
wooded areas;937;0;593;11358;141;578;736;374;80;275;343;239;99;0;247
mining areas, landfills, construction sites and artificial and abandoned land;1550;0;460;212;4638;906;222;2836;457;661;230;373;195;0;249
non-agricultural artificial green areas;972;0;409;887;1091;8643;443;3162;115;562;551;498;51;0;1449
permanent crops;272;0;340;400;124;721;6713;267;74;291;561;37;15;0;185
production, commercial, public and private service establishments, networks and infrastructural areas;1185;0;223;624;1998;2374;299;18119;79;638;317;48;94;0;1779
stable meadows;27;0;116;81;27;105;67;68;628;544;265;37;2;0;33
arable land;158;0;116;119;321;449;643;497;314;4711;393;46;39;0;194
heterogeneous agricultural areas;196;0;312;413;270;959;665;377;327;428;1595;22;8;0;428
open areas with sparse or absent vegetation;78;0;252;252;272;60;27;61;22;51;26;3541;0;0;55
internal wetlands;406;0;296;132;109;60;33;42;5;39;32;18;1082;0;3
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;73;0;32;149;174;911;109;1498;20;122;182;15;1;0;4714
