;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9475;0;96;520;449;360;195;703;21;340;63;84;765;0;52
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;140;0;3121;743;123;203;408;86;71;181;203;626;64;0;31
wooded areas;886;0;557;11672;127;492;527;391;73;455;308;213;97;0;202
mining areas, landfills, construction sites and artificial and abandoned land;1542;0;637;259;4462;941;350;3019;201;776;105;185;282;0;230
non-agricultural artificial green areas;864;0;403;810;1073;8988;482;2948;118;905;462;277;40;0;1463
permanent crops;266;0;336;368;107;941;6630;232;57;354;490;36;12;0;171
production, commercial, public and private service establishments, networks and infrastructural areas;1064;0;240;666;1681;2094;259;18816;61;762;271;43;66;0;1754
stable meadows;21;0;112;72;25;96;74;58;620;610;236;32;0;0;44
arable land;149;0;71;105;308;524;555;388;308;5119;260;38;28;0;147
heterogeneous agricultural areas;145;0;321;446;201;984;508;321;295;666;1702;22;13;0;376
open areas with sparse or absent vegetation;56;0;228;278;228;54;37;74;24;48;14;3623;0;0;33
internal wetlands;454;0;241;198;145;44;24;50;2;48;9;4;1036;0;2
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;71;0;21;119;153;891;84;1314;21;157;181;4;1;0;4983
