;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;8632;0;128;489;624;553;199;838;39;245;91;109;1092;0;84
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;136;0;3007;695;103;184;528;127;100;148;238;603;78;0;53
wooded areas;1040;0;686;11109;153;564;778;337;93;284;381;260;79;0;236
mining areas, landfills, construction sites and artificial and abandoned land;1615;0;635;252;4720;954;267;2518;357;856;194;154;228;0;239
non-agricultural artificial green areas;797;0;571;782;1043;8694;498;2983;213;795;573;275;45;0;1564
permanent crops;354;0;390;375;99;811;6507;283;78;319;524;62;15;0;183
production, commercial, public and private service establishments, networks and infrastructural areas;1288;0;209;618;1843;2689;412;17689;104;714;309;47;85;0;1770
stable meadows;22;0;115;81;26;103;75;65;635;518;285;33;2;0;40
arable land;156;0;128;126;340;473;627;541;348;4680;324;35;42;0;180
heterogeneous agricultural areas;239;0;312;385;261;1007;629;424;310;520;1455;20;6;0;432
open areas with sparse or absent vegetation;83;0;332;221;272;44;27;70;34;20;25;3505;0;0;64
internal wetlands;383;0;256;159;125;42;56;49;2;32;17;12;1120;0;4
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;73;0;32;124;230;1009;121;1385;23;155;177;11;2;0;4658
