;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9390;0;71;559;529;334;148;779;8;376;54;136;695;0;44
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;163;0;3058;799;169;189;413;135;61;173;180;610;30;0;20
wooded areas;925;0;374;11991;106;468;493;336;55;508;291;196;65;0;192
mining areas, landfills, construction sites and artificial and abandoned land;1555;0;368;275;4724;978;319;3031;49;948;113;207;239;0;183
non-agricultural artificial green areas;864;0;370;827;857;9471;402;3100;135;746;444;309;39;0;1269
permanent crops;277;0;333;425;87;595;7049;232;62;401;387;40;9;0;103
production, commercial, public and private service establishments, networks and infrastructural areas;1158;0;102;600;1786;2185;179;18981;35;892;217;36;36;0;1570
stable meadows;29;0;106;68;31;102;68;55;585;590;301;34;0;0;31
arable land;122;0;80;103;240;510;697;416;255;5177;233;14;19;0;134
heterogeneous agricultural areas;163;0;305;470;197;1094;509;318;205;661;1674;19;4;0;381
open areas with sparse or absent vegetation;46;0;219;311;247;31;33;52;20;49;16;3618;0;0;55
internal wetlands;523;0;241;173;155;33;14;48;4;54;12;11;989;0;0
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;67;0;22;119;117;1021;97;1372;11;144;149;3;0;0;4878
